x,estimate
0.044326628,-0.056159531
0.633415669,1.434486989
1.00454987,2.581044163
1.615054096,3.756528982
2.181979823,4.874657264
3.010625922,6.566151414
3.642763538,7.627047847
4.122376406,8.4871964
4.863117378,9.376297536
5.494849757,10.06470067
6.126457448,10.63849048
7.084498648,11.26996101
7.933593599,11.7580402
8.521311071,11.98794016
9.348398568,12.24676777
10.39306684,12.50584476
11.3507028,12.76482199
12.6783196,13.11018315
13.46167274,13.16838757
14.68043681,13.45631739
15.83377078,13.60090573
16.87853257,13.94594271
17.92323202,14.23367303
18.7938045,14.46389718
19.70795548,14.75147787
20.70923228,15.1251183
21.66699293,15.49870885
22.7335128,15.84377077
23.95240156,16.24631391
24.97543644,16.61997928
